ticker,home_exchange,ordinary_share_ratio,reporting_currency,fiscal_year_end,issuer_ir_sources,primary_forms,segment_drivers,benchmark_tickers,fx_proxy,source_priority
BABA,HKEX,8,CNY,03-31,"quarterly_results=https://www.alibabagroup.com/en-US/ir-financial-reports-quarterly-results|sec_hkex_filings=https://www.alibabagroup.com/en-US/ir-filings-sec|annual_general_meetings=https://www.alibabagroup.com/en-US/ir-annual-general-meetings","20-F,6-K","China commerce|Cloud|International commerce|Local services|Logistics|Buybacks|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
JD,HKEX,2,CNY,12-31,"issuer_ir=https://ir.jd.com","20-F,6-K","China retail|Marketplace|Logistics|Buybacks|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
PDD,NASDAQ,4,CNY,12-31,"issuer_ir=https://investor.pddholdings.com","20-F,6-K","Marketplace|Temu/international commerce|Advertising take rate|Sales and marketing|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
BIDU,HKEX,8,CNY,12-31,"issuer_ir=https://ir.baidu.com","20-F,6-K","Search advertising|AI cloud|Autonomous driving|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
NTES,HKEX,5,CNY,12-31,"issuer_ir=https://ir.netease.com","20-F,6-K","Online games|Cloud music|Education/other|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
TCOM,HKEX,1,CNY,12-31,"issuer_ir=https://investors.trip.com","20-F,6-K","Travel demand|Accommodation|Transportation|Outbound travel|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
NIO,HKEX,1,CNY,12-31,"issuer_ir=https://ir.nio.com","20-F,6-K","Deliveries|Vehicle margin|Battery swap|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
XPEV,HKEX,2,CNY,12-31,"issuer_ir=https://ir.xiaopeng.com","20-F,6-K","Deliveries|Vehicle margin|Autonomous driving|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
LI,HKEX,2,CNY,12-31,"issuer_ir=https://ir.lixiang.com","20-F,6-K","Deliveries|Vehicle margin|Model cycle|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
YUMC,HKEX,1,CNY,12-31,"issuer_ir=https://ir.yumchina.com","20-F,6-K","Same-store sales|Traffic|Ticket|Restaurant margin|Unit growth|RMB/USD","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
BEKE,HKEX,3,CNY,12-31,"issuer_ir=https://investors.ke.com","20-F,6-K","Housing transactions|Commission rate|New home sales|Home renovation|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
ZTO,HKEX,1,CNY,12-31,"issuer_ir=https://zto.investorroom.com","20-F,6-K","Parcel volume|ASP|Sorting hub efficiency|Logistics margin|RMB/USD","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
TME,HKEX,2,CNY,12-31,"issuer_ir=https://ir.tencentmusic.com","20-F,6-K","Online music|Social entertainment|Paying users|ARPPU|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
VIPS,NYSE,2,CNY,12-31,"issuer_ir=https://ir.vip.com","20-F,6-K","Discount commerce|Active customers|Gross margin|Inventory|RMB/USD","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
BILI,HKEX,1,CNY,12-31,"issuer_ir=https://ir.bilibili.com","20-F,6-K","MAUs|Advertising|Games|Live streaming|Gross margin|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
EDU,HKEX,10,CNY,05-31,"issuer_ir=https://investor.neworiental.org","20-F,6-K","Education services|Overseas test prep|Learning products|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
TAL,NYSE,3,CNY,02-28,"issuer_ir=https://ir.100tal.com","20-F,6-K","Learning services|Content solutions|Education technology|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
FUTU,HKEX,8,HKD,12-31,"issuer_ir=https://ir.futuholdings.com","20-F,6-K","Client assets|Trading volume|Margin financing|Wealth management|HKD/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
BZ,NASDAQ,1,CNY,12-31,"issuer_ir=https://ir.kanzhun.com","20-F,6-K","Online recruitment|Paid enterprise customers|ARPU|RMB/USD|Labor cycle","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
QFIN,NASDAQ,2,CNY,12-31,"issuer_ir=https://ir.qifu.tech","20-F,6-K","Loan facilitation|Take rate|Credit risk|Funding cost|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
LU,NYSE,2,CNY,12-31,"issuer_ir=https://ir.lufaxholding.com","20-F,6-K","Credit facilitation|Wealth management|Credit cost|Funding cost|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
DQ,NYSE,25,CNY,12-31,"issuer_ir=https://ir.dqsolar.com","20-F,6-K","Polysilicon volume|ASP|Cash cost|Capacity|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
HTHT,HKEX,10,CNY,12-31,"issuer_ir=https://ir.hworld.com","20-F,6-K","Hotel nights|RevPAR|Occupancy|Unit growth|RMB/USD|Travel demand","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
GDS,HKEX,8,CNY,12-31,"issuer_ir=https://investors.gds-services.com","20-F,6-K","Data center revenue|Utilization|Bookings|Capex|Debt|RMB/USD","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
ZLAB,HKEX,1,USD,12-31,"issuer_ir=https://ir.zailaboratory.com","20-F,6-K","Product revenue|Pipeline milestones|R&D|Regulatory approvals|China oncology","KWEB|MCHI|HSTECH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
BGNE,HKEX,13,USD,12-31,"issuer_ir=https://ir.beigene.com","10-K,10-Q,8-K,20-F,6-K","Product revenue|Pipeline|R&D|Commercial launches|China/global oncology","KWEB|MCHI|HSTECH",CNH,"10-K,10-Q,8-K,issuer_ir,presentation,hkex_document"
HCM,HKEX,5,USD,12-31,"issuer_ir=https://www.hutch-med.com/investors","20-F,6-K","Oncology products|Pipeline milestones|China commercialization|R&D|Regulatory approvals","KWEB|MCHI|HSTECH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
TCEHY,HKEX,1,HKD,12-31,"issuer_ir=https://www.tencent.com/en-us/investors.html","manual,issuer_ir","Games|Advertising|Fintech|Cloud|WeChat ecosystem|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"issuer_ir,hkex_document,global_peer_official_document"
BYDDF,HKEX,1,CNY,12-31,"issuer_ir=https://www.bydglobal.com/en/InvestorRelations.html","manual,issuer_ir","EV deliveries|Battery|Gross margin|Exports|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"issuer_ir,hkex_document,cninfo_document,global_peer_official_document"
TSM,TWSE,5,TWD,12-31,"issuer_ir=https://investor.tsmc.com/english/quarterly-results","20-F,6-K","Foundry revenue|Gross margin|Capex|Advanced node mix|Customer concentration|USD/TWD","SOXX|SMH|TAIEX",TWD,"20-F,6-K,issuer_ir,presentation"
ASML,EURONEXT,1,EUR,12-31,"issuer_ir=https://www.asml.com/en/investors","20-F,6-K","EUV bookings|System sales|Service revenue|Gross margin|Backlog|EUR/USD","SOXX|SMH|ASML.AS",EUR,"20-F,6-K,issuer_ir,presentation"
NVO,Copenhagen,1,DKK,12-31,"issuer_ir=https://www.novonordisk.com/investors.html","20-F,6-K","GLP-1 revenue|Obesity care|Diabetes care|Capacity|Gross margin|DKK/USD","XLV|IHE|NVO.CO",DKK,"20-F,6-K,issuer_ir,presentation"
INFY,NSE,1,USD,03-31,"issuer_ir=https://www.infosys.com/investors.html","20-F,6-K","Constant-currency revenue|Large deals|Operating margin|Utilization|Attrition|USD/INR","INDA|NIFTY50",INR,"20-F,6-K,issuer_ir,presentation"
HDB,NSE,3,INR,03-31,"issuer_ir=https://www.hdfcbank.com/personal/about-us/investor-relations","20-F,6-K","Loan growth|NIM|Deposits|Credit cost|CET1|USD/INR","INDA|NIFTYBANK",INR,"20-F,6-K,issuer_ir,presentation"
IBN,NSE,2,INR,03-31,"issuer_ir=https://www.icicibank.com/about-us/investor-relations","20-F,6-K","Loan growth|NIM|Deposits|Credit cost|CET1|USD/INR","INDA|NIFTYBANK",INR,"20-F,6-K,issuer_ir,presentation"
TM,TSE,1,JPY,03-31,"issuer_ir=https://global.toyota/en/ir/","20-F,6-K","Vehicle sales|ASP|Operating margin|FX|Hybrid/EV mix|JPY/USD","EWJ|TOPIX",JPY,"20-F,6-K,issuer_ir,presentation"
SONY,TSE,1,JPY,03-31,"issuer_ir=https://www.sony.com/en/SonyInfo/IR/","20-F,6-K","Games|Music|Pictures|Image sensors|FX|JPY/USD","EWJ|TOPIX",JPY,"20-F,6-K,issuer_ir,presentation"
PBR,B3,2,BRL,12-31,"issuer_ir=https://www.investidorpetrobras.com.br/en/","20-F,6-K","Production|Realized price|Capex|Debt|Dividends|BRL/USD","EWZ|XLE",BRL,"20-F,6-K,issuer_ir,presentation"
VALE,B3,1,USD,12-31,"issuer_ir=https://www.vale.com/investors","20-F,6-K","Iron ore production|Realized price|C1 cost|Capex|Dividends|BRL/USD","EWZ|XME",BRL,"20-F,6-K,issuer_ir,presentation"
MELI,NASDAQ,1,USD,12-31,"issuer_ir=https://investor.mercadolibre.com","10-K,10-Q,8-K","GMV|TPV|Take rate|Credit portfolio|Logistics|LatAm FX","ILF|EWZ|ARGT",BRL,"10-K,10-Q,8-K,issuer_ir,presentation"
